#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Obligaciones,T1,T2,T3,T4
2016,G,E,1320,22104,VESTUARIO.,11567.91,,,11567.91,
2016,G,E,1320,22199,Otros suministros,1420.7,394.97,977.41,48.32,
2016,G,E,1320,22601,ATENCIONES PROTOCOLARIAS Y REPRESENTATIVAS.,0,,,,
2016,G,E,1320,22603,PUBLICACIÓN EN DIARIOS OFICIALES.,0,,,,
2016,G,E,1320,22699,Otros gastos diversos,2323.34,,1956.56,366.78,
2016,G,E,1320,22799,Otros trabajos realizados por otras emrpresas y profesionale,8018.51,2193.68,2333.46,3491.37,
2016,G,E,1320,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",6629.63,,,6629.63,
2016,G,E,1330,22799,Otros trabajos realizados por otras emrpresas y profesionale,0,,,,
2016,G,E,1330,61900,Otras inversiones de reposición de infraestructuras y bienes,0,,,,
2016,G,E,1350,12003,SUELDOS DEL GRUPO C1.,0,,,,
2016,G,E,1350,12006,TRIENIOS.,0,,,,
2016,G,E,1350,12100,COMPLEMENTO DE DESTINO.,0,,,,
2016,G,E,1350,12101,COMPLEMENTO ESPECÍFICO.,0,,,,
2016,G,E,1350,13000,RETRIBUCIONES BÁSICAS.,65575.44,22554.91,24716.32,18304.21,
2016,G,E,1350,13001,HORAS EXTRAORDINARIAS,0,,,,
2016,G,E,1350,13002,OTRAS REMUNERACIONES.,6336.21,2015.05,2429.62,1891.54,
2016,G,E,1350,13010,PRODUCTIVIDAD PERSONAL LABORAL,2230.61,875.24,529.62,825.75,
2016,G,E,1350,15000,COMPLEMENTO DE PRODUCTIVIDAD,0,,,,
2016,G,E,1350,16000,Seguridad Social. Personal Funcionario,0,,,,
2016,G,E,1350,16001,Seguridad Social. Personal laboral,11993.83,7081.83,1713.97,3198.03,
2016,G,E,1350,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",14732.51,1586.31,5411.63,7734.57,
2016,G,E,1350,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,2852.33,599.58,1937.62,315.13,
2016,G,E,1350,22000,ORDINARIO NO INVENTARIABLE.,0,,,,
2016,G,E,1350,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",0,,,,
2016,G,E,1350,22103,COMBUSTIBLES Y CARBURANTES.,1417.62,261.88,551.92,603.82,
2016,G,E,1350,22104,VESTUARIO.,2811.56,,,2811.56,
2016,G,E,1350,22105,PRODUCTOS ALIMENTICIOS.,787.29,248.16,,539.13,
2016,G,E,1350,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,73.46,,,73.46,
2016,G,E,1350,22199,Otros suministros,319.07,114.71,,204.36,
2016,G,E,1350,22699,Otros gastos diversos,33.3,,,33.3,
2016,G,E,1350,22799,Otros trabajos realizados por otras emrpresas y profesionale,9437.02,28.92,2000,7408.1,
2016,G,E,1350,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",21218.44,,382.36,20836.08,
2016,G,E,1360,22501,Tributos de las Comunidades Autónomas,710904.45,353294.22,,357610.23,
2016,G,E,1510,12000,SUELDOS DEL GRUPO A1.,26528.72,8464.98,11342.84,6720.9,
2016,G,E,1510,12001,SUELDOS DEL GRUPO A2.,30406.65,8085.57,12215.67,10105.41,
2016,G,E,1510,12003,SUELDOS DEL GRUPO C1.,25402.23,8378.85,10478.31,6545.07,
2016,G,E,1510,12006,TRIENIOS.,15441.37,5134.2,5043.73,5263.44,
2016,G,E,1510,12100,COMPLEMENTO DE DESTINO.,46775.68,13909.98,15829.38,17036.32,
2016,G,E,1510,12101,COMPLEMENTO ESPECÍFICO.,77240.13,24382.61,29209.39,23648.13,
2016,G,E,1510,15000,COMPLEMENTO DE PRODUCTIVIDAD,46948.36,17983.24,14310.36,14654.76,
2016,G,E,1510,15100,GRATIFICACIONES,4605.49,4150.64,234.35,220.5,
2016,G,E,1510,16000,Seguridad Social. Personal Funcionario,64335.37,21009.75,21060.32,22265.3,
2016,G,E,1510,20000,Arrendamientos de terrenos  y bienes naturales,33325.11,11108.37,11108.37,11108.37,
2016,G,E,1510,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,6621.48,,4414.32,2207.16,
2016,G,E,1510,22610,Sanciones,0,,,,
2016,G,E,1510,22706,ESTUDIOS Y TRABAJOS TÉCNICOS.,201833.58,13031.45,119127.75,69674.38,
2016,G,E,1510,22799,Otros trabajos realizados por otras emrpresas y profesionale,4416.5,,,4416.5,
2016,G,E,1510,61900,Otras inversiones de reposición de infraestructuras y bienes,2740.65,2740.65,,,
2016,G,E,1510,62300,"Maquinaria, instalaciones y utillaje ",8946.74,,,8946.74,
2016,G,E,1532,21003,MANTENIMIENTO VIAS PÚBLICAS,136585.1,12925.54,35315.04,88344.52,
2016,G,E,1532,22199,Otros suministros,18575.98,5378.1,7216.72,5981.16,
2016,G,E,1532,61900,Otras inversiones de reposición de infraestructuras y bienes,0,,,,
2016,G,E,1533,13000,RETRIBUCIONES BÁSICAS.,184841.58,61839.51,70252.74,52749.33,
2016,G,E,1533,13001,HORAS EXTRAORDINARIAS,8814.67,2080.34,2099.51,4634.82,
2016,G,E,1533,13002,OTRAS REMUNERACIONES.,11326.17,3853.74,4239,3233.43,
2016,G,E,1533,13010,PRODUCTIVIDAD PERSONAL LABORAL,32349.91,10780.91,10598.92,10970.08,
2016,G,E,1533,14300,OTRO PERSONAL ATIPICO,2229.78,,242.85,1986.93,
2016,G,E,1533,16001,Seguridad Social. Personal laboral,83750.39,26434.06,28209.12,29107.21,
2016,G,E,1533,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,11397.28,,7115.1,4282.18,
2016,G,E,1533,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,11176.77,4138.2,1379.4,5659.17,
2016,G,E,1533,20900,CÁNONES.,0,,,,
2016,G,E,1533,21003,MANTENIMIENTO VIAS PÚBLICAS,40591,2274.34,12360.97,25955.69,
2016,G,E,1533,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",9202.38,3040.37,3621.45,2540.56,
2016,G,E,1533,21400,REPARAC. MANTEN. MATERIAL TRANSPORTE,9845.57,7122.86,405.56,2317.15,
2016,G,E,1533,22101,AGUA.,59550.5,19730.42,3797.08,36023,
2016,G,E,1533,22103,COMBUSTIBLES Y CARBURANTES.,5263.78,1735.65,1946.19,1581.94,
2016,G,E,1533,22104,VESTUARIO.,490.9,,245.7,245.2,
2016,G,E,1533,22199,Otros suministros,10345.47,2859.36,5888.74,1597.37,
2016,G,E,1533,22799,Otros trabajos realizados por otras emrpresas y profesionale,10187.96,1551.44,5628.48,3008.04,
2016,G,E,1533,61900,Otras inversiones de reposición de infraestructuras y bienes,43746.31,,,43746.31,
2016,G,E,1600,61900,Otras inversiones de reposición de infraestructuras y bienes,55795.81,,55795.81,,
2016,G,E,1610,61900,Otras inversiones de reposición de infraestructuras y bienes,28807.43,5115.46,,23691.97,
2016,G,E,1610,78900,OTRAS TRANSFERENCIAS DE CAPITAL,101547.6,,101547.6,,
2016,G,E,1621,22502,TRIBUTOS DE LAS ENTIDADES LOCALES.,108348.8,37957.64,34926.18,35464.98,
2016,G,E,1621,22799,Otros trabajos realizados por otras emrpresas y profesionale,582974.41,129560.2,259073.91,194340.3,
2016,G,E,1621,61900,Otras inversiones de reposición de infraestructuras y bienes,16316.34,,16316.34,,
2016,G,E,1630,22700,LIMPIEZA Y ASEO.,515462.13,120768.24,224428.26,170265.63,
2016,G,E,1650,21002,MANTENIMIENTO ALUMBRADO PÚBLICO,87326.65,,60369.48,26957.17,
2016,G,E,1650,22100,ENERGÍA ELÉCTRICA.,291655.15,36199.99,34592.12,220863.04,
2016,G,E,1650,61900,Otras inversiones de reposición de infraestructuras y bienes,0,,,,
2016,G,E,1700,12001,SUELDOS DEL GRUPO A2.,20495.98,6221.4,8463.16,5811.42,
2016,G,E,1700,12003,SUELDOS DEL GRUPO C1.,8411.57,2789.92,3439.96,2181.69,
2016,G,E,1700,12004,SUELDOS DEL GRUPO C2.,7553.5,2851.89,2885.86,1815.75,
2016,G,E,1700,12005,SUELDOS DEL GRUPO E.,5847.67,1661.88,2523.91,1661.88,
2016,G,E,1700,12006,TRIENIOS.,3743.46,1177.58,1247.82,1318.06,
2016,G,E,1700,12100,COMPLEMENTO DE DESTINO.,23454.11,7661.33,7896.39,7896.39,
2016,G,E,1700,12101,COMPLEMENTO ESPECÍFICO.,34446.15,11069.3,13287.04,10089.81,
2016,G,E,1700,13000,RETRIBUCIONES BÁSICAS.,42686.9,13637.46,16567.22,12482.22,
2016,G,E,1700,13001,HORAS EXTRAORDINARIAS,5094.14,1142.55,2185.91,1765.68,
2016,G,E,1700,13002,OTRAS REMUNERACIONES.,2332.32,765.27,894.39,672.66,
2016,G,E,1700,13010,PRODUCTIVIDAD PERSONAL LABORAL,6164.21,1935.65,1979.64,2248.92,
2016,G,E,1700,14300,OTRO PERSONAL ATIPICO,45462.42,13601.27,19718.48,12142.67,
2016,G,E,1700,15000,COMPLEMENTO DE PRODUCTIVIDAD,17276.86,5091.75,5394.69,6790.42,
2016,G,E,1700,15100,GRATIFICACIONES,476.91,104.28,372.63,,
2016,G,E,1700,16000,Seguridad Social. Personal Funcionario,33106.75,9571.14,11593.29,11942.32,
2016,G,E,1700,16001,Seguridad Social. Personal laboral,21544.55,6649.65,7357.98,7536.92,
2016,G,E,1700,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,16742.58,4846.79,4304.77,7591.02,
2016,G,E,1700,21000,INFRAESTRUCTURA Y BIENES NATURALES,20472.9,17859.3,,2613.6,
2016,G,E,1700,21001,MANTENIMIENTO PARQUES Y JARDINES,15182.12,10812.51,4369.61,,
2016,G,E,1700,22103,COMBUSTIBLES Y CARBURANTES.,2162.62,620.71,780.98,760.93,
2016,G,E,1700,22104,VESTUARIO.,3020.25,,2047.65,972.6,
2016,G,E,1700,22199,Otros suministros,19068.44,4872.39,13503.71,692.34,
2016,G,E,1700,22699,Otros gastos diversos,10827.69,876.88,5127.79,4823.02,
2016,G,E,1700,22799,Otros trabajos realizados por otras emrpresas y profesionale,66166.6,4095.85,18535.99,43534.76,
2016,G,E,1700,61900,Otras inversiones de reposición de infraestructuras y bienes,24497.66,24197.58,300.08,,
2016,G,E,1700,62300,"Maquinaria, instalaciones y utillaje ",0,,,,
2016,G,E,1710,21001,MANTENIMIENTO PARQUES Y JARDINES,415945.74,179106.17,119126.79,117712.78,
2016,G,E,1710,61900,Otras inversiones de reposición de infraestructuras y bienes,537.24,537.24,,,
2016,G,E,1710,62100,Terrenos y bienes natuales,1815,,1815,,
2016,G,E,1710,63100,INVERSION EN TERRENOS Y BIENES NATURALES,2984.95,,,2984.95,
2016,G,E,1720,21000,INFRAESTRUCTURA Y BIENES NATURALES,0,,,,
2016,G,E,1720,61900,Otras inversiones de reposición de infraestructuras y bienes,282710.81,15202.97,267507.84,,
2016,G,E,2210,16200,FORMACIÓN Y PERFECCIONAMIENTO DEL PERSONAL.,745,,745,,
2016,G,E,2210,16204,ACCIÓN SOCIAL.,33392.94,15280.64,8966.48,9145.82,
2016,G,E,2210,16205,SEGUROS.,6960.68,2782.56,3206.59,971.53,
2016,G,E,2210,16300,FORMACION Y PERFECCIONAMIENTO PERSONAL LABORAL,1250.83,694.33,375,181.5,
2016,G,E,2210,16304,ACCION SOCIAL PERSONAL LABORAL,26643.06,16169.2,5442.16,5031.7,
2016,G,E,2210,23030,Dietas del personal,77.13,,77.13,,
2016,G,E,2210,23300,Otras indemnizaciones,11200.02,4398.34,3292.92,3508.76,
2016,G,E,2210,83001,ANTICIPOS DE PAGAS AL PERSONAL LABORAL,89340,36560,27780,25000,
2016,G,E,2310,12000,SUELDOS DEL GRUPO A1.,0,,,,
2016,G,E,2310,12001,SUELDOS DEL GRUPO A2.,11257.1,3726.79,4624.6,2905.71,
2016,G,E,2310,12003,SUELDOS DEL GRUPO C1.,0,,,,
2016,G,E,2310,12004,SUELDOS DEL GRUPO C2.,7115.62,2360.28,2939.59,1815.75,
2016,G,E,2310,12006,TRIENIOS.,4932,1644,1644,1644,
2016,G,E,2310,12100,COMPLEMENTO DE DESTINO.,9935.37,3311.79,3311.79,3311.79,
2016,G,E,2310,12101,COMPLEMENTO ESPECÍFICO.,17881,5951.67,6816.76,5112.57,
2016,G,E,2310,13000,RETRIBUCIONES BÁSICAS.,85599.09,29155.02,32192.42,24251.65,
2016,G,E,2310,13002,OTRAS REMUNERACIONES.,7732.66,2573.8,2947.92,2210.94,
2016,G,E,2310,13010,PRODUCTIVIDAD PERSONAL LABORAL,8219.79,2739.93,2739.93,2739.93,
2016,G,E,2310,15000,COMPLEMENTO DE PRODUCTIVIDAD,12655.73,3551.91,5551.91,3551.91,
2016,G,E,2310,16000,Seguridad Social. Personal Funcionario,11634.75,2508.93,4562.88,4562.94,
2016,G,E,2310,16001,Seguridad Social. Personal laboral,17043.5,2842.96,4537.27,9663.27,
2016,G,E,2310,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",147.89,,147.89,,
2016,G,E,2310,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",1100.99,296.56,423.8,380.63,
2016,G,E,2310,22103,COMBUSTIBLES Y CARBURANTES.,2501.11,1500.27,680.09,320.75,
2016,G,E,2310,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,0,,,,
2016,G,E,2310,22199,Otros suministros,2455.33,171.85,561.78,1721.7,
2016,G,E,2310,22300,TRANSPORTES,1750,,1570,180,
2016,G,E,2310,22699,Otros gastos diversos,0,,,,
2016,G,E,2310,22799,Otros trabajos realizados por otras emrpresas y profesionale,82743.36,25687.46,40347.6,16708.3,
2016,G,E,2310,46300,A MANCOMUNIDADES,241986.59,177223.9,64762.69,,
2016,G,E,2310,48000,TRANSFERENCIAS CTES. A PARTICULARES,6100,1600,2550,1950,
2016,G,E,2310,48900,OTRAS TRANSFERENCIAS,36051,4311,13029,18711,
2016,G,E,2410,13000,RETRIBUCIONES BÁSICAS.,67993.21,22547.37,25944.72,19501.12,
2016,G,E,2410,13001,HORAS EXTRAORDINARIAS,0,,,,
2016,G,E,2410,13002,OTRAS REMUNERACIONES.,3327.76,1107.64,1268.64,951.48,
2016,G,E,2410,13010,PRODUCTIVIDAD PERSONAL LABORAL,1222.2,407.4,407.4,407.4,
2016,G,E,2410,16001,Seguridad Social. Personal laboral,22669.92,7541.64,7564.17,7564.11,
2016,G,E,2410,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",0,,,,
2016,G,E,2410,22000,ORDINARIO NO INVENTARIABLE.,0,,,,
2016,G,E,2410,22104,VESTUARIO.,0,,,,
2016,G,E,2410,22105,PRODUCTOS ALIMENTICIOS.,1628,1241.97,386.03,,
2016,G,E,2410,22199,Otros suministros,431.98,203.86,228.12,,
2016,G,E,2410,22300,TRANSPORTES,541.35,226.6,314.75,,
2016,G,E,2410,22699,Otros gastos diversos,971.8,,971.8,,
2016,G,E,3110,22106,PRODUCTOS FARMACÉUTICOS Y MATERIAL SANITARIO.,0,,,,
2016,G,E,3110,22199,Otros suministros,0,,,,
2016,G,E,3110,22602,PUBLICIDAD Y PROPAGANDA.,0,,,,
2016,G,E,3110,22699,Otros gastos diversos,0,,,,
2016,G,E,3110,22799,Otros trabajos realizados por otras emrpresas y profesionale,7882.5,2767.5,2557.5,2557.5,
2016,G,E,3110,48900,OTRAS TRANSFERENCIAS,5000,5000,,,
2016,G,E,3110,62200,EDIFICIOS Y OTRAS CONSTRUCCIONES,0,,,,
2016,G,E,3230,12004,SUELDOS DEL GRUPO C2.,14035.32,4650.01,5753.81,3631.5,
2016,G,E,3230,12006,TRIENIOS.,1102.88,343.52,379.68,379.68,
2016,G,E,3230,12100,COMPLEMENTO DE DESTINO.,7177.32,2392.44,2392.44,2392.44,
2016,G,E,3230,12101,COMPLEMENTO ESPECÍFICO.,12516.56,4166.12,4771.68,3578.76,
2016,G,E,3230,13000,RETRIBUCIONES BÁSICAS.,151110.44,50826.58,55996.32,44287.54,
2016,G,E,3230,13001,HORAS EXTRAORDINARIAS,628.22,255.88,,372.34,
2016,G,E,3230,13002,OTRAS REMUNERACIONES.,2726.44,907.49,1039.4,779.55,
2016,G,E,3230,13010,PRODUCTIVIDAD PERSONAL LABORAL,2229.79,754.14,754.14,721.51,
2016,G,E,3230,15000,COMPLEMENTO DE PRODUCTIVIDAD,7398.18,2466.06,2466.06,2466.06,
2016,G,E,3230,15100,GRATIFICACIONES,0,,,,
2016,G,E,3230,16000,Seguridad Social. Personal Funcionario,10697.28,3563.34,3566.97,3566.97,
2016,G,E,3230,16001,Seguridad Social. Personal laboral,47980.96,15977.2,15924.56,16079.2,
2016,G,E,3230,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,907.5,,907.5,,
2016,G,E,3230,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,64421.63,9107.49,9972.43,45341.71,
2016,G,E,3230,22103,COMBUSTIBLES Y CARBURANTES.,40655.65,23337.07,16761.59,556.99,
2016,G,E,3230,22199,Otros suministros,8375.89,2096.97,6169.94,108.98,
2016,G,E,3230,22300,TRANSPORTES,64978.32,26320.45,30985.37,7672.5,
2016,G,E,3230,22699,Otros gastos diversos,12,30,-18,,
2016,G,E,3230,22799,Otros trabajos realizados por otras emrpresas y profesionale,53647.54,13491.25,27747.43,12408.86,
2016,G,E,3230,48100,"PREMIOS, BECAS Y PENSIONES DE ESTUDIO",10480,5100,5380,,
2016,G,E,3230,48900,OTRAS TRANSFERENCIAS,110153,,110000,153,
2016,G,E,3230,63201,INDUSTRIALES,33143.47,,,33143.47,
2016,G,E,3230,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE.",3203.71,,,3203.71,
2016,G,E,3230,63500,MOBILIARIO.,0,,,,
2016,G,E,3231,13000,RETRIBUCIONES BÁSICAS.,285068.95,91041.5,103225.33,90802.12,
2016,G,E,3231,13002,OTRAS REMUNERACIONES.,5937.85,1976.41,2263.68,1697.76,
2016,G,E,3231,16001,Seguridad Social. Personal laboral,69869.93,21458.2,25037.34,23374.39,
2016,G,E,3231,21200,REPARAC. MANTENI. EDIFICIOS Y O.CONSTRUC,17259.83,2758.8,2758.8,11742.23,
2016,G,E,3231,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",212.96,212.96,,,
2016,G,E,3231,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",79.5,79.5,,,
2016,G,E,3231,22103,COMBUSTIBLES Y CARBURANTES.,17593.24,11933.62,5177.43,482.19,
2016,G,E,3231,22104,VESTUARIO.,1463,,,1463,
2016,G,E,3231,22199,Otros suministros,8840.62,1403.08,6990.3,447.24,
2016,G,E,3231,22699,Otros gastos diversos,0,,,,
2016,G,E,3231,22799,Otros trabajos realizados por otras emrpresas y profesionale,92556.82,26607.26,45320.21,20629.35,
2016,G,E,3231,63300,"MAQUINARIA, INSTALACIONES TÉCNICAS Y UTILLAJE.",15639.62,,9877.6,5762.02,
2016,G,E,3231,63500,MOBILIARIO.,1993.78,,1993.78,,
2016,G,E,3260,13000,RETRIBUCIONES BÁSICAS.,58733.98,20280.4,23348.43,15105.15,
2016,G,E,3260,13010,PRODUCTIVIDAD PERSONAL LABORAL,794.43,264.81,264.81,264.81,
2016,G,E,3260,16001,Seguridad Social. Personal laboral,18174.52,6374.03,6394.74,5405.75,
2016,G,E,3260,22199,Otros suministros,0,,,,
2016,G,E,3260,22699,Otros gastos diversos,0,,,,
2016,G,E,3261,12003,SUELDOS DEL GRUPO C1.,0,,,,
2016,G,E,3261,12006,TRIENIOS.,0,,,,
2016,G,E,3261,12100,COMPLEMENTO DE DESTINO.,0,,,,
2016,G,E,3261,12101,COMPLEMENTO ESPECÍFICO.,0,,,,
2016,G,E,3261,13000,RETRIBUCIONES BÁSICAS.,227733.21,79607.63,84415.06,63710.52,
2016,G,E,3261,13001,HORAS EXTRAORDINARIAS,2127.5,,,2127.5,
2016,G,E,3261,13002,OTRAS REMUNERACIONES.,6720.05,2583.39,2120.62,2016.04,
2016,G,E,3261,15000,COMPLEMENTO DE PRODUCTIVIDAD,0,,,,
2016,G,E,3261,16000,Seguridad Social. Personal Funcionario,0,,,,
2016,G,E,3261,16001,Seguridad Social. Personal laboral,72410.6,25234.58,24331.85,22844.17,
2016,G,E,3261,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",337.59,112.53,112.53,112.53,
2016,G,E,3261,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",0,,,,
2016,G,E,3261,22103,COMBUSTIBLES Y CARBURANTES.,2921.13,1652.88,1268.25,,
2016,G,E,3261,22104,VESTUARIO.,0,,,,
2016,G,E,3261,22199,Otros suministros,2230.52,252.59,1193.61,784.32,
2016,G,E,3261,22699,Otros gastos diversos,1863.79,,2350,-486.21,
2016,G,E,3261,22799,Otros trabajos realizados por otras emrpresas y profesionale,10824.43,4814.64,2184.39,3825.4,
2016,G,E,3261,48900,Otras transferencias,6431,,,6431,
2016,G,E,3261,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",0,,,,
2016,G,E,3261,62500,MOBILIARIO,527.55,527.55,,,
2016,G,E,3321,13000,RETRIBUCIONES BÁSICAS.,81849.87,26680.54,31685.33,23484,
2016,G,E,3321,13001,HORAS EXTRAORDINARIAS,1031.32,584.2,447.12,,
2016,G,E,3321,13002,OTRAS REMUNERACIONES.,7487.56,2511.63,2683.39,2292.54,
2016,G,E,3321,16001,Seguridad Social. Personal laboral,25530.46,9149.73,7096.79,9283.94,
2016,G,E,3321,20800,ARRENDAMIENTOS DE OTRO INMOVILIZADO MATERIAL.,14520,14520,,,
2016,G,E,3321,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",0,,,,
2016,G,E,3321,22001,"PRENSA, REVISTAS, LIBROS Y OTRAS PUBLICACIONES.",1418.23,474.13,665.7,278.4,
2016,G,E,3321,22010,FONDOS DE BIBLIOTECA Y MATERIAL AUDIOVISUAL,7017.85,,1208,5809.85,
2016,G,E,3321,22104,VESTUARIO.,0,,,,
2016,G,E,3321,22199,Otros suministros,0,,,,
2016,G,E,3321,22699,Otros gastos diversos,0,,,,
2016,G,E,3321,22799,Otros trabajos realizados por otras emrpresas y profesionale,4905.67,800,2759.99,1345.68,
2016,G,E,3321,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",0,,,,
2016,G,E,3321,62500,MOBILIARIO,0,,,,
2016,G,E,3330,12003,SUELDOS DEL GRUPO C1.,8278.25,2699.76,3396.8,2181.69,
2016,G,E,3330,12006,TRIENIOS.,650.88,216.96,216.96,216.96,
2016,G,E,3330,12100,COMPLEMENTO DE DESTINO.,4634.46,1544.82,1544.82,1544.82,
2016,G,E,3330,12101,COMPLEMENTO ESPECÍFICO.,6992.78,2303.41,2679.64,2009.73,
2016,G,E,3330,13000,RETRIBUCIONES BÁSICAS.,177008.9,60957.39,66156.16,49895.35,
2016,G,E,3330,13001,HORAS EXTRAORDINARIAS,2994.87,333.69,1536.25,1124.93,
2016,G,E,3330,13002,OTRAS REMUNERACIONES.,33145.85,10656.85,12943.02,9545.98,
2016,G,E,3330,13010,PRODUCTIVIDAD PERSONAL LABORAL,5774.94,1924.98,1924.98,1924.98,
2016,G,E,3330,15000,COMPLEMENTO DE PRODUCTIVIDAD,4485.15,1495.05,1495.05,1495.05,
2016,G,E,3330,16000,Seguridad Social. Personal Funcionario,6462.6,2160.96,2169,2132.64,
2016,G,E,3330,16001,Seguridad Social. Personal laboral,73450.14,22634.04,25144.73,25671.37,
2016,G,E,3330,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,9706.12,847,629.2,8229.92,
2016,G,E,3330,20900,CÁNONES.,5042.97,1517.93,799.07,2725.97,
2016,G,E,3330,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",8169.91,956.5,7213.41,,
2016,G,E,3330,21500,MOBILIARIO Y ENSERES,0,,,,
2016,G,E,3330,22104,VESTUARIO.,1113.2,1113.2,,,
2016,G,E,3330,22199,Otros suministros,4900.64,680.32,1025.52,3194.8,
2016,G,E,3330,22300,TRANSPORTES,160,,160,,
2016,G,E,3330,22602,PUBLICIDAD Y PROPAGANDA.,16713.6,5091.48,5800.62,5821.5,
2016,G,E,3330,22606,"REUNIONES, CONFERENCIAS Y CURSOS.",0,,,,
