#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Inicial 2016
2016,G,P,3380,22799,Otros trabajos realizados por otras emrpresas y profesionale,30000
2016,G,P,3380,48900,OTRAS TRANSFERENCIAS,6000
2016,G,P,3420,12004,SUELDOS DEL GRUPO C2.,16950
2016,G,P,3420,12006,TRIENIOS.,2920
2016,G,P,3420,12100,COMPLEMENTO DE DESTINO.,7910
2016,G,P,3420,12101,COMPLEMENTO ESPECÍFICO.,14320
2016,G,P,3420,13000,RETRIBUCIONES BÁSICAS.,575000
2016,G,P,3420,13001,HORAS EXTRAORDINARIAS,3000
2016,G,P,3420,13002,OTRAS REMUNERACIONES.,68500
2016,G,P,3420,13010,PRODUCTIVIDAD PERSONAL LABORAL,35100
2016,G,P,3420,14300,OTRO PERSONAL ATIPICO,26800
2016,G,P,3420,15000,COMPLEMENTO DE PRODUCTIVIDAD,7110
2016,G,P,3420,16000,Seguridad Social. Personal Funcionario,12500
2016,G,P,3420,16001,Seguridad Social. Personal laboral,218800
2016,G,P,3420,20300,ARRENDAMIENTO MAQUIN. INSTALAC. Y UTILL.,2000
2016,G,P,3420,20400,ARRENDAMIENTO MATERIAL DE TRANSPORTE,8200
2016,G,P,3420,21300,"REPARAC. MANTEN, MAQUIN.,INSTA Y UTILLA.",30000
2016,G,P,3420,22103,COMBUSTIBLES Y CARBURANTES.,90000
2016,G,P,3420,22104,VESTUARIO.,18000
2016,G,P,3420,22105,PRODUCTOS ALIMENTICIOS.,100
2016,G,P,3420,22199,Otros suministros,40000
2016,G,P,3420,22300,TRANSPORTES,20000
2016,G,P,3420,22400,PRIMAS DE SEGUROS,13000
2016,G,P,3420,22602,PUBLICIDAD Y PROPAGANDA.,3000
2016,G,P,3420,22699,Otros gastos diversos,3000
2016,G,P,3420,22710,OTROS SERVICIOS REALIZADOS,160000
2016,G,P,3420,22799,Otros trabajos realizados por otras emrpresas y profesionale,128000
2016,G,P,3420,48000,TRANSFERENCIAS CTES. A PARTICULARES,102000
2016,G,P,3420,62500,MOBILIARIO,20000
2016,G,P,3420,63200,INV. REPOSICION EDIFICIOS Y CONSTRUCC.,355000
2016,G,P,3420,63201,INDUSTRIALES,0
2016,G,P,4331,12003,SUELDOS DEL GRUPO C1.,12050
2016,G,P,4331,12006,TRIENIOS.,2560
2016,G,P,4331,12100,COMPLEMENTO DE DESTINO.,6200
2016,G,P,4331,12101,COMPLEMENTO ESPECÍFICO.,9710
2016,G,P,4331,13000,RETRIBUCIONES BÁSICAS.,29680
2016,G,P,4331,14300,OTRO PERSONAL ATIPICO,1800
2016,G,P,4331,15000,COMPLEMENTO DE PRODUCTIVIDAD,6450
2016,G,P,4331,15100,GRATIFICACIONES,1600
2016,G,P,4331,16000,Seguridad Social. Personal Funcionario,9200
2016,G,P,4331,16001,Seguridad Social. Personal laboral,9000
2016,G,P,4331,22199,Otros suministros,500
2016,G,P,4331,22602,PUBLICIDAD Y PROPAGANDA.,5000
2016,G,P,4331,22699,Otros gastos diversos,1500
2016,G,P,4331,22799,Otros trabajos realizados por otras emrpresas y profesionale,67000
2016,G,P,4331,48900,OTRAS TRANSFERENCIAS,7000
2016,G,P,4410,46700,Transferencias a Consorcio de transportes,380000
2016,G,P,4590,60900,OBRAS DE INVERSIONES,0
2016,G,P,4590,63100,INVERSION EN TERRENOS Y BIENES NATURALES,125000
2016,G,P,4910,13000,RETRIBUCIONES BÁSICAS.,103190
2016,G,P,4910,13010,PRODUCTIVIDAD PERSONAL LABORAL,770
2016,G,P,4910,16001,Seguridad Social. Personal laboral,31200
2016,G,P,4910,22199,Otros suministros,9000
2016,G,P,4910,22602,PUBLICIDAD Y PROPAGANDA.,26000
2016,G,P,4910,22699,Otros gastos diversos,500
2016,G,P,4910,22799,Otros trabajos realizados por otras emrpresas y profesionale,196854
2016,G,P,4910,48100,"PREMIOS, BECAS Y PENSIONES DE ESTUDIO",0
2016,G,P,4910,62300,"MAQUINARIA, INSTALACIONES Y UTILLAJE",6000
2016,G,P,9120,10000,RETRIBUCIONES BÁSICAS.,403000
2016,G,P,9120,11000,RETRIBUCIONES BÁSICAS.,107000
2016,G,P,9120,12003,SUELDOS DEL GRUPO C1.,12450
2016,G,P,9120,12004,SUELDOS DEL GRUPO C2.,10100
2016,G,P,9120,12006,TRIENIOS.,4450
2016,G,P,9120,12100,COMPLEMENTO DE DESTINO.,10980
