#Año,Tipo,Presupuesto,Programa,Económica,Descripción,Inicial
2017,G,P,1533,20900,Cánones,2500
2017,G,P,1533,21003,Mantenimiento vías publicas,75000
2017,G,P,1533,21300,Rep. Mant. Maquinaria. Instal. y utillaje,30000
2017,G,P,1533,21400,Rep. Mant. Material de transporte,7000
2017,G,P,1533,22101,Agua,100000
2017,G,P,1533,22103,Combustible y carburantes,10500
2017,G,P,1533,22104,Vestuario,4000
2017,G,P,1533,22199,Otros suministros,22000
2017,G,P,1533,22799,Otros trabaj. realizados otras empresas,20000
2017,G,P,1532,21003,Mantenimiento vías públicas,581031
2017,G,P,1532,22199,Otros suministros,24000
2017,G,P,1532,61900,Inversión de reposición infr. y bienes,260000
2017,G,P,1610,61900,Otras inversiones de reposicion de infraestructuras,100000
2017,G,P,1610,78900,Otras transferencias de capital,162000
2017,G,P,1621,22502,Tributos de las Entidades Locales,170000
2017,G,P,1621,22799,Otros trabajos realizados por empresas y profesionales,802500
2017,G,P,1621,61900,Otras inversiones de reposición de infraestructuras,36000
2017,G,P,1630,20400,Arrendamiento material de transporte,31600
2017,G,P,1630,22700,Limpieza y aseo,737000
2017,G,P,1650,21002,Manten. alumbrado publico,155000
2017,G,P,1650,22100,Energía eléctrica,450000
2017,G,P,1650,61900,Inversión repos. Infra. y bienes,460000
2017,G,P,1700,12001,Retribuciones básicas. Sueldos del Grupo A2,14750
2017,G,P,1700,12003,Retribuciones básicas. Sueldos del Grupo C1,11290
2017,G,P,1700,12005,Retribuciones básicas. Sueldos del Grupo E,8400
2017,G,P,1700,12006,Retribuciones básicas. Trienios,3900
2017,G,P,1700,12100,Retribuciones complementarias. Complemento de destino,18350
2017,G,P,1700,12101,Retribuciones complementarias. Complemento específico,28250
2017,G,P,1700,13000,Retribuciones básicas,59100
2017,G,P,1700,13001,Horas extraordinarias,7200
2017,G,P,1700,13002,Otras remuneraciones,3200
2017,G,P,1700,13010,Productividad Personal Laboral,8000
2017,G,P,1700,14300,Otro personal laboral,87700
2017,G,P,1700,15000,Complemento de productividad,16250
2017,G,P,1700,15100,Gratificaciones,1250
2017,G,P,1700,16000,Seguridad Social. Personal Funcionario,58600
2017,G,P,1700,16001,Seguridad Social. Personal Laboral,30000
2017,G,P,1700,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,1700,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,1700,20400,Arrendamiento material de transporte,28800
2017,G,P,1700,21000,Mantenimiento y conservación de arbolado,50000
2017,G,P,1700,21001,Mantenimiento fajas contra incendios,16000
2017,G,P,1700,22103,Combustible y carburantes,6000
2017,G,P,1700,22104,Vestuario,5000
2017,G,P,1700,22199,Otros suministros,25000
2017,G,P,1700,22500,Tributos estatales,6000
2017,G,P,1700,22699,Otros gastos diversos,24000
2017,G,P,1700,22799,Otros trabajos realizados por otras empresas,90000
2017,G,P,1700,62300,"Maquinaria, instalaciones y utillaje",12000
2017,G,P,1700,63100,Inversión de reposición en terrenos y bienes naturales,175000
2017,G,P,1710,21001,Mantenimiento parques y jardines,750000
2017,G,P,1710,61900,Otras inversiones reposición infraest.,160000
2017,G,P,1720,21000,Mantenimiento zonas forestales,60000
2017,G,P,1720,22199,Otros suministros,5000
2017,G,P,1720,60900,Otras inversiones nuevas infraes.,75000
2017,G,P,2210,16204,Acción social personal funcionario,65000
2017,G,P,2210,16205,Seguros,40000
2017,G,P,2210,16304,Acción social personal laboral,50000
2017,G,P,2210,23030,Dietas del personal,500
2017,G,P,2210,23300,Otras indemnizaciones,8000
2017,G,P,2210,83001,Préstamos al personal,65000
2017,G,P,2310,12001,Retribuciones básicas. Sueldos del Grupo A2,15100
2017,G,P,2310,12003,Retribuciones básicas. Sueldos del Grupo C1,11400
2017,G,P,2310,12004,Retribuciones básicas. Sueldos del Grupo C2,9600
2017,G,P,2310,12006,Retribuciones básicas. Trienios,9500
2017,G,P,2310,12100,Retribuciones complementarias. Complemento de destino,19500
2017,G,P,2310,12101,Retribuciones complementarias. Complemento específico,33500
2017,G,P,2310,13000,Retribuciones básicas,93100
2017,G,P,2310,13002,Otras remuneraciones,10400
2017,G,P,2310,13010,Productividad Personal Laboral,11000
2017,G,P,2310,15000,Complemento de Productividad.,20800
2017,G,P,2310,16000,Seguridad Social. Personal Funcionario,31300
2017,G,P,2310,16001,Seguridad Social. Personal Laboral,26000
2017,G,P,2310,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,2310,16200,Formación y perfeccionamiento personal laboral,250
2017,G,P,2310,21300,"Reparación y mantenimiento maquinaria, instala. Y utillaje",1500
2017,G,P,2310,22001,"Prensa, revistas, libros y otras publicaciones",2000
2017,G,P,2310,22100,Suministro energía eléctrica,80790
2017,G,P,2310,22103,Combustible y carburantes,3000
2017,G,P,2310,22106,Productos farmacéuticos y material sanitario,750
2017,G,P,2310,22199,Otros suministros,1800
2017,G,P,2310,22300,Transportes,3200
2017,G,P,2310,22699,Otros gastos diversos,1000
2017,G,P,2310,22700,Limpieza y aseo,23790
2017,G,P,2310,22799,Otros trabajos realizados  otras empresas y profesionales,175000
2017,G,P,2310,48000,Atenciones benéficas y asistencias,216000
2017,G,P,2310,48900,Otras transferencias,109945
2017,G,P,2410,13000,Retribuciones básicas,92500
2017,G,P,2410,13001,Horas extraordinarias,250
2017,G,P,2410,13002,Otras remuneraciones,4500
2017,G,P,2410,13010,Productividad Personal Laboral,1630
2017,G,P,2410,16001,Seguridad Social. Personal Laboral,30300
2017,G,P,2410,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,2410,21300,"Reparación, conservación y mantenimiento maquinaria.",1000
2017,G,P,2410,22000,Material de oficina ordinario no inventariable,2000
2017,G,P,2410,22104,Vestuario,1000
2017,G,P,2410,22105,Productos alimenticios,7000
2017,G,P,2410,22199,Otros suministros,1000
2017,G,P,2410,22300,Transportes,200
2017,G,P,2410,22400,Seguros,3000
2017,G,P,2410,22699,Otros gastos diversos,2000
2017,G,P,3110,22106,Productos farmacéuticos y material sanitario,100
2017,G,P,3110,22199,Otros suministros,100
2017,G,P,3110,22602,Publicidad y propaganda,100
2017,G,P,3110,22699,Otros gastos diversos,100
2017,G,P,3110,22799,Otros trabajos realizados por otras empresas y profesionales,68000
2017,G,P,3110,62200,Edificios y otras construcciones,150000
2017,G,P,3230,12004,Retribuciones básicas. Sueldos del Grupo C2,28100
2017,G,P,3230,12006,Retribuciones básicas. Trienios,1530
2017,G,P,3230,12100,Retribuciones complementarias. Complemento de destino,14500
2017,G,P,3230,12101,Retribuciones complementarias. Complemento específico,25100
2017,G,P,3230,13000,Retribuciones básicas,185500
2017,G,P,3230,13001,Horas extraordinarias,1500
2017,G,P,3230,13002,Otras remuneraciones,3700
2017,G,P,3230,13010,Productividad,2000
2017,G,P,3230,15000,Productividad,14600
2017,G,P,3230,15100,Gratificaciones,1500
2017,G,P,3230,16000,Seguridad social. Personal Funcionario,14300
2017,G,P,3230,16001,Seguridad Social. Personal Laboral,66300
2017,G,P,3230,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,3230,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3230,20300,"Arrendamiento maquinaria, instalaciones y utillaje",2000
2017,G,P,3230,21200,"Reparaciones, mantenimiento y conservación. Edific. y otra",100000
2017,G,P,3230,22100,Suministro energía eléctrica,76650
2017,G,P,3230,22103,Combustible y carburantes,50000
2017,G,P,3230,22199,Otros suministros,15000
2017,G,P,3230,22300,Transportes,100000
2017,G,P,3230,22699,Otros gastos diversos,700
2017,G,P,3230,22700,Limpieza y aseo,280360
2017,G,P,3230,22799,Otros trabajos realizados por otras empresas y profesionales,100000
2017,G,P,3230,48100,"Premios, becas y pensiones de estudio",5000
2017,G,P,3230,48900,Otras transferencias,110000
2017,G,P,3230,62200,Inversión nueva edificios y otras construcciones,185000
2017,G,P,3230,63201,Inversión reposición edificios y otras construcciones,150000
2017,G,P,3230,63300,"Maquinaria, instalaciones técnicas y utillaje",5000
2017,G,P,3230,63500,Mobiliario,5000
2017,G,P,3231,13000,Retribuciones básicas,419000
2017,G,P,3231,13002,Otras remuneraciones,8000
2017,G,P,3231,16001,Seguridad Social. Personal Laboral,127300
2017,G,P,3231,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3231,21200,"Reparaciones, mantenimiento y conservación. Edificios y otra",25000
2017,G,P,3231,21300,"Reparación, mantenimiento y conservación, maquinaria y utillaje",3500
2017,G,P,3231,22001,"Prensa, revistas, libros y otras publicaciones",300
2017,G,P,3231,22100,Suministro energía eléctrica,14500
2017,G,P,3231,22103,Combustible y carburantes,30000
2017,G,P,3231,22104,Vestuario,2000
2017,G,P,3231,22199,Otros suministros,12000
2017,G,P,3231,22699,Otros gastos diversos,1000
2017,G,P,3231,22700,Limpieza y aseo,73400
2017,G,P,3231,22799,Otros trabajos realizados por otras empresas y profesionales,190000
2017,G,P,3231,63300,"Maquinaria, instalaciones y utillaje",10000
2017,G,P,3231,63500,Mobiliario,2000
2017,G,P,3260,13000,Retribuciones básicas,84000
2017,G,P,3260,13010,Productividad,1060
2017,G,P,3260,16001,Seguridad Social. Personal Laboral,25600
2017,G,P,3260,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3260,22199,Otros suministros,1000
2017,G,P,3260,22699,Otros gastos diversos,500
2017,G,P,3261,13000,Retribuciones básicas,301000
2017,G,P,3261,13001,Horas extraordinarias,3000
2017,G,P,3261,13002,Otras remuneraciones,10600
2017,G,P,3261,16000,Seguridad Social. Personal Funcionario,700
2017,G,P,3261,16001,Seguridad Social. Personal Laboral,106300
2017,G,P,3261,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,3261,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3261,21300,"Reparación, mantenimiento y conservación, maquinaria y utillaje",1000
2017,G,P,3261,22001,"Prensa, revistas, libros y otras publicaciones",500
2017,G,P,3261,22100,Suministro energía eléctrica,3970
2017,G,P,3261,22103,Combustible y carburantes,5000
2017,G,P,3261,22199,Otros suministros,3000
2017,G,P,3261,22699,Otros gastos diversos,3000
2017,G,P,3261,22700,Limpieza y aseo,11010
2017,G,P,3261,22799,Otros trabajos realizados por otras empresas y profesionales,20000
2017,G,P,3261,48900,Otras transferencias,12000
2017,G,P,3261,62300,"Maquinaria, instalaciones y utillaje",1000
2017,G,P,3261,62500,Mobiliario,1000
2017,G,P,3321,13000,Retribuciones básicas,146500
2017,G,P,3321,13001,Horas extraordinarias,2000
2017,G,P,3321,13002,Otras remuneraciones,15500
2017,G,P,3321,16001,Seguridad Social. Personal Laboral,37500
2017,G,P,3321,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3321,21600,Repar. Manten. Equipamiento procesos informáticos,7592
2017,G,P,3321,22001,"Prensa, revistas, libros y otras publicaciones",4320
2017,G,P,3321,22010,Fondos de biblioteca y material audiovisual,20000
2017,G,P,3321,22100,Suministro energía eléctrica,7500
2017,G,P,3321,22104,Vestuario,500
2017,G,P,3321,22199,Otros suministros,1200
2017,G,P,3321,22699,Otros gastos diversos,160
2017,G,P,3321,22700,Limpieza y aseo,11900
2017,G,P,3321,22799,Otros trabajos realizados por otras empresas,15000
2017,G,P,3321,62500,Mobiliario,200000
2017,G,P,3321,63201,Adecuación edificio biblioteca,400000
2017,G,P,3330,12004,Retribuciones básicas. Sueldos del Grupo C1,11200
2017,G,P,3330,12006,Retribuciones básicas. Trienios,1050
2017,G,P,3330,12100,Retribuciones complementarias. Complemento de destino,6200
2017,G,P,3330,12101,Retribuciones complementarias. Complemento específico,9400
2017,G,P,3330,13000,Retribuciones básicas,262800
2017,G,P,3330,13001,Horas extraordinarias,5000
2017,G,P,3330,13002,Otras remuneraciones,49000
2017,G,P,3330,13010,Productividad personal laboral,7800
2017,G,P,3330,15000,Productividad,6500
2017,G,P,3330,16000,Seguridad Social. Personal Funcionario,8500
2017,G,P,3330,16001,Seguridad Social. Personal Laboral,103000
2017,G,P,3330,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,3330,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3330,20300,Alquiler maquinaria instalaciones y utillaje,12000
2017,G,P,3330,20900,Cánones,15000
2017,G,P,3330,21300,"Reparaciones, mantenimiento y conservación. Maquinaría, inst",25000
2017,G,P,3330,21500,Reparación mobiliario   y enseres,400
2017,G,P,3330,21600,Repar. Manteni. Equipos de procesos informáticos,5140
2017,G,P,3330,22100,Suministro energía eléctrica,55050
2017,G,P,3330,22104,Vestuario,3000
2017,G,P,3330,22199,Otros suministros,8000
2017,G,P,3330,22300,Transportes,3500
2017,G,P,3330,22400,Primas de seguros,5000
2017,G,P,3330,22602,Publicidad y propaganda,35000
2017,G,P,3330,22606,"Reuniones, conferencias y cursos",2000
2017,G,P,3330,22699,Otros gastos diversos,100
2017,G,P,3330,22700,Limpieza y aseo,44750
2017,G,P,3330,22799,Otros trabajos realizados por otras empresas y profesionales,288000
2017,G,P,3330,48100,Premios,15000
2017,G,P,3330,48900,Otras transferencias,3000
2017,G,P,3330,62300,"Maquinaria, instalaciones   utillaje",29100
2017,G,P,3330,62500,Mobiliario,5000
2017,G,P,3330,63201,Inversión de reposición edificios y otras construcciones,130000
2017,G,P,3340,12004,Retribuciones básicas. Sueldos del Grupo C2,4800
2017,G,P,3340,12006,Retribuciones básicas. Trienios,870
2017,G,P,3340,12100,Retribuciones básicas. Complemento de destino,2400
2017,G,P,3340,12101,Retribuciones básicas. Complemento especifico,4200
2017,G,P,3340,13000,Retribuciones básicas,388500
2017,G,P,3340,13002,Otras remuneraciones,950
2017,G,P,3340,13010,Productividad personal laboral,3900
2017,G,P,3340,15000,Complemento de productividad,3400
2017,G,P,3340,16000,Seguridad Social. Personal Funcionario,6200
2017,G,P,3340,16001,Seguridad Social. Personal Laboral,117700
2017,G,P,3340,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,3340,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3340,20300,"Alquiler maquinaria, instalaciones y utillaje",300
2017,G,P,3340,21500,"Reparaciones, mantenimiento y conservación. Mobiliario y ens",2000
2017,G,P,3340,22001,"Prensa, revistas, libros y otras publicaciones",350
2017,G,P,3340,22010,Fondos de biblioteca y material audiovisual,1000
2017,G,P,3340,22104,Vestuario,2500
2017,G,P,3340,22300,Transportes,3000
2017,G,P,3340,22602,Publicidad y propaganda,800
2017,G,P,3340,22699,Otros gastos diversos,1500
2017,G,P,3340,22799,Otros trabajos realizados por otras empresas y profesionales,20000
2017,G,P,3340,48900,Otras transferencias,30000
2017,G,P,3340,62900,Instrumentos,3000
2017,G,P,3371,13000,Retribuciones básicas,98700
2017,G,P,3371,13001,Horas extraordinarias,2500
2017,G,P,3371,13002,Otras remuneraciones,3550
2017,G,P,3371,13010,Productividad. Personal laboral,12300
2017,G,P,3371,16001,Seguridad Social. Personal Laboral,35700
2017,G,P,3371,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3371,20300,"Arrendamiento maquinaria, instalaciones y utillaje",2060
2017,G,P,3371,22103,Combustible y carburantes,500
2017,G,P,3371,22104,Vestuario,1500
2017,G,P,3371,22105,Productos alimenticios,300
2017,G,P,3371,22199,Otros suministros,5850
2017,G,P,3371,22300,Transportes,9500
2017,G,P,3371,22602,Publicidad y propaganda,11300
2017,G,P,3371,22699,Otros gastos diversos,150
2017,G,P,3371,22799,Otros trabajos realizados por otras empresas y profesionales,140000
2017,G,P,3371,48100,"Premios, becas y pensiones de estudio",1350
2017,G,P,3380,20300,"Arrendamiento maquinaria, instalaciones y utillaje",30000
2017,G,P,3380,22609,Actividades culturales y deportivas,95000
2017,G,P,3380,22699,Otros gastos diversos,12000
2017,G,P,3380,22799,Otros trabajos realizados por otras empresas,47000
2017,G,P,3380,48900,Otras transferencias,4000
2017,G,P,3420,12003,Retribuciones básicas. Sueldos del Grupo C1,11200
2017,G,P,3420,12004,Retribuciones básicas. Sueldos del Grupo C2,8700
2017,G,P,3420,12006,Retribuciones básicas. Trienios,2700
2017,G,P,3420,12100,Retribuciones complementarias. Complemento de destino,10200
2017,G,P,3420,12101,Retribuciones complementarias. Complemento específico,16550
2017,G,P,3420,13000,Retribuciones básicas,531000
2017,G,P,3420,13001,Horas extraordinarias,3000
2017,G,P,3420,13002,Otras remuneraciones,64000
2017,G,P,3420,13010,Productividad. Personal laboral,35600
2017,G,P,3420,14300,Otro personal laboral,28600
2017,G,P,3420,15000,Complemento de productividad,9550
2017,G,P,3420,16000,Seguridad Social. Personal Funcionario,14800
2017,G,P,3420,16001,Seguridad Social. Personal Laboral,218800
2017,G,P,3420,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,3420,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,3420,20300,"Arrendamiento maquinaria, instalaciones y utillaje",5000
2017,G,P,3420,20400,Arrendamiento material de transporte,2000
2017,G,P,3420,21300,"Reparaciones, mantenimiento y conservación. Instalaciones",30000
2017,G,P,3420,21600,Repar. Manteni. Equipos procesos de información,2105
2017,G,P,3420,22100,Suministro energía eléctrica,136550
2017,G,P,3420,22103,Combustible y carburantes,80000
2017,G,P,3420,22104,Vestuario,10000
2017,G,P,3420,22105,Productos alimenticios,100
2017,G,P,3420,22199,Otros suministros,40000
2017,G,P,3420,22300,Transportes,20000
2017,G,P,3420,22400,Primas de seguros,1000
2017,G,P,3420,22602,Publicidad y propaganda,2000
2017,G,P,3420,22699,Otros gastos diversos,2000
2017,G,P,3420,22700,Limpieza y aseo,65950
2017,G,P,3420,22710,Otros servicios realizados por asociaciones deportivas,160000
2017,G,P,3420,22799,Otros trabajos realizados por otras empresas y profesionales,164000
2017,G,P,3420,48000,Otras transferencias corrientes,72000
2017,G,P,3420,48900,Otras transferencias,60000
2017,G,P,3420,62300,Maquinaria,10000
2017,G,P,3420,62500,Mobiliario,10000
2017,G,P,3420,63100,Inversión reposición terrenos y bienes naturales,300000
2017,G,P,3420,63201,Inversión de reposición edificios y otras construcciones,60000
2017,G,P,4331,12003,Retribuciones básicas. Sueldos del Grupo C1,11400
2017,G,P,4331,12006,Retribuciones básicas. Trienios,2560
2017,G,P,4331,12100,Retribuciones complementarias. Complemento de destino,6200
2017,G,P,4331,12101,Retribuciones complementarias. Complemento específico,9400
2017,G,P,4331,13000,Retribuciones básicas,28700
2017,G,P,4331,15000,Productividad,6450
2017,G,P,4331,15100,Gratificaciones,1600
2017,G,P,4331,16000,Seguridad Social. Personal Funcionario,9200
2017,G,P,4331,16001,Seguridad Social. Personal Laboral,9000
2017,G,P,4331,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,4331,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,4331,22199,Otros suministros,500
2017,G,P,4331,22602,Publicidad y propaganda,12000
2017,G,P,4331,22699,Otros gastos diversos,22500
2017,G,P,4331,22799,Otros trabajos realizados por otras empresas y profesionales,67000
2017,G,P,4331,62300,Maquinaria,3000
2017,G,P,4910,13000,Retribuciones básicas,100500
2017,G,P,4910,13010,Productividad. Personal laboral,4800
2017,G,P,4910,16001,Seguridad Social. Personal laboral,32700
2017,G,P,4910,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,4910,21600,Reparaciones y mantenimiento equipos proces. Informáticos,58585
2017,G,P,4910,22199,Otros suministros,9000
2017,G,P,4910,22602,Publicidad y propaganda,26000
2017,G,P,4910,22699,Otros gastos diversos,500
2017,G,P,4910,22799,Otros trabajos realizados por otras empresas y profesionales,196900
2017,G,P,4910,48100,"Premios, becas y pensiones de estudio",300
2017,G,P,4910,62300,"Maquinaria, instalaciones y utillaje",3000
2017,G,P,9120,10000,Retribuciones órganos de gobierno,407100
2017,G,P,9120,11000,Retribuciones personal eventual,106000
2017,G,P,9120,12003,Retribuciones básicas. Sueldos del Grupo C1,11500
2017,G,P,9120,12004,Retribuciones básicas. Sueldos del Grupo C2,9550
2017,G,P,9120,12006,Retribuciones básicas. Trienios,4800
2017,G,P,9120,12100,Retribuciones complementarias. Complemento de destino,10970
2017,G,P,9120,12101,Retribuciones complementarias. Complemento específico,17750
2017,G,P,9120,13000,Retribuciones básicas,22200
2017,G,P,9120,13001,Horas extraordinarias,500
2017,G,P,9120,13010,Productividad personal laboral,8100
2017,G,P,9120,15000,Productividad,13200
2017,G,P,9120,15100,Gratificaciones,1000
2017,G,P,9120,16000,Seguridad Social. Personal Funcionario,53000
2017,G,P,9120,16001,Seguridad Social. Personal laboral,9600
2017,G,P,9120,16003,Seguridad Social. Altos Cargos,132500
2017,G,P,9120,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9120,16300,Formación y perfeccionamiento personal laboral,250
2017,G,P,9120,22105,Productos alimenticios,200
2017,G,P,9120,22601,Atenciones protocolarias y representativas,10000
2017,G,P,9120,22606,"Reuniones, conferencias y cursos",15000
2017,G,P,9120,22699,Otros gastos diversos,6000
2017,G,P,9120,23000,Dietas órganos de gobierno,100
2017,G,P,9120,23100,Locomoción órganos de gobierno,500
2017,G,P,9120,23300,Otras indemnizaciones,7500
2017,G,P,9120,48902,Asignaciones a Grupos Políticos,15000
2017,G,P,9200,12000,Retribuciones básicas. Sueldos del Grupo A1,34600
2017,G,P,9200,12001,Retribuciones básicas. Sueldos del Grupo A2,14600
2017,G,P,9200,12003,Retribuciones básicas. Sueldos del Grupo C1,124500
2017,G,P,9200,12004,Retribuciones básicas. Sueldos del Grupo C2,28700
2017,G,P,9200,12006,Retribuciones básicas. Trienios,37400
2017,G,P,9200,12100,Retribuciones complementarias. Complemento de destino,114280
2017,G,P,9200,12101,Retribuciones complementarias. Complemento específico,200000
2017,G,P,9200,15000,Complemento de Productividad.,132600
2017,G,P,9200,15100,Gratificaciones,30000
2017,G,P,9200,16000,Seguridad Social. Personal Funcionario,162000
2017,G,P,9200,16200,Formación y perfeccionamiento personal funcionario,250
2017,G,P,9200,21600,"Reparac. ,manteni. Equipos para procesos informáticos",16000
2017,G,P,9200,22001,"Prensa, revistas, libros y otras publicaciones",15000
2017,G,P,9200,22602,Publicidad y propaganda,1000
2017,G,P,9200,22603,Publicación en diarios oficiales,20000
