#Sección,b,c,Periodo,Fecha,NIF Beneficiario,Beneficiario,Tipo de Adjudicación,Descripción,Importe,Origen
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 121949612 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,2339.14,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 126093936 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,599.21,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 175694985 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,659.47,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 184439739 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,25.49,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 206984054 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,159.38,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 210475751 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,225.81,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 237900580 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,215.89,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 243745034 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,215.89,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 248684253 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES,224.46,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 303785307 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES CASA MEDIO AMBIE,40.55,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 304604854 PERIODO 16/11/18 A 22/01/19 QUIOSCO P. FLORIDABLANCA,41.78,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606199072 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES AV ROSARIO MANZ,173.05,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606200082 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ NTRA SRA DEL,35.43,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606204025 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ JAVIER GARCIA,82.39,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606205035 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ JAVIER GARCIA,57.44,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606210085 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ CARLOS PICABE,21.26,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606212008 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ REAL 32,315.04,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606826037 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES AV CONDE DE LAS,171.71,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606827047 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES PO JOAQUIN RUIZ,290.55,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606830077 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES C/ JOSE SANCHEZ,13.12,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 606831087 PERIODO 16/11/18 A 22/01/19 EDIF MUNICIPALES PL CONSTITUCION,39.07,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 108010207 PERIODO 19/11/18 A 23/01/19 EDIF MUNICIPALES AV DEL LAGO 21,24.86,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 329275489 PERIODO 23/11/18 A 22/01/19 ALMACEN PO JOAQUIN RUIZ JIMENEZ 3,23.24,
Administración General,,,1T,2019-02-25,,CANAL ISABEL II GESTION SA,,CONTRATO 333379401 PERIODO 29/01/19 A 29/01/19 RTA VIA DE SERVICIO A-6 DIRECCI,1511.85,
Administración General,,,1T,2019-03-29,,CANAL ISABEL II GESTION SA,,CONTRATO 334776201 PERIODO 08/03/19 A 08/03/19 C/ RUFINO TORRES S/N,1511.85,
Administración General,,,1T,2019-01-24,,SOLRED S.A.,,OPERACIONES REALIZADAS CON TARJETA SOLRED MES DICIEMBRE SERV. GENERALES,359.94,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005632 PERIODO 08/09/17 A 09/10/17 AV TORRELODONES 8,123.66,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005632 PERIODO 07/07/17 A 10/08/17 AV TORRELODONES 8,135.58,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005632 PERIODO 19/07/16 A 17/08/16 AV TORRELODONES 8,115.18,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 10743702 PERIODO 04/11/15 A 11/01/16 CL REAL 32 BIBLIOTECA,868.56,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005640 PERIODO 07/09/15 A 04/11/15 CL REAL 36,64.66,
Administración General,,,1T,2019-03-07,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005640 PERIODO 31/08/15 A 07/09/15 CL REAL 36,1.74,
Administración General,,,1T,2019-03-08,,SOLRED S.A.,,OPERACIONES REALIZADAS CON TARJETA SOLRED MES ENERO SERV. GENERALES,98,
Administración General,,,1T,2019-03-29,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005632 PERIODO 11/01/19 A 08/02/19 AV TORRELODONES 8,2515.4,
Administración General,,,1T,2019-03-29,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 30005635 PERIODO 09/02/19 A 28/02/19 CL. CUDILLERO 6,742.24,
Administración General,,,1T,2019-03-29,,GALP ENERGIA ESPAÑA SAU,,CONTRATO 10743702 PERIODO 10/01/19 A 05/03/19 CL. REAL 32 BIBLI,989.1,
Administración General,,,1T,2019-01-16,,CRISTALERIAS TORRELODONES SA,,SUSTITUCION RUEDAS CARRO,54,
Administración General,,,1T,2019-01-24,,VIVA AGUA SERVICE SPAIN SA,,SUMINISTRO AGUA VARIOS DEPARTAMENTOS MES DICIEMBRE 2018,396.85,
Administración General,,,1T,2019-03-08,,VIVA AGUA SERVICE SPAIN SA,, SUMINISTRO AGUA VARIOS DEPARTAMENTOS MES ENERO 2019,404.73,
Administración General,,,1T,2019-03-25,,VIVA AGUA SERVICE SPAIN SA,,SUMINISTRO AGUA VARIOS DEPARTAMENTOS MES FEBRERO 2019,337.48,
Administración General,,,1T,2019-02-19,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,CION CONCERTADA FIJA PERIODO DEL 01/06/18 AL 31/07/18,27090.76,
Administración General,,,1T,2019-02-19,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,CION PERIODO DEL 18/09/18 AL 17/11/18,1640.76,
Administración General,,,1T,2019-03-08,,"TELEFONICA DE ESPAÑA Y TELEFONICA MOVILES, SAU, UTE CCCXLIX",,CION CONCERTADA FIJA PERIODO 01/12/18 A 31/01/19,27090.76,
Administración General,,,1T,2019-03-08,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,CORREO POSTAL AYUNTAMIENTO MES DICIEMBRE 2018,2829.81,
Administración General,,,1T,2019-03-08,,SOCIEDAD ESTATAL CORREOS Y TELEGRAFOS S.A.,,CORREO POSTAL AYUNTAMIENTO MES ENERO 2019,3574.11,
Administración General,,,1T,2019-01-01,,AXA SEGUROS GENERALES SA DE SEGUROS Y REASEGUROS SA,,SEGURO FLOTA VEHICULOS PERIODO 17/01/18 A 1/07/18,15721.96,
Administración General,,,1T,2019-01-16,,HISCOX EUROPE UNDERWRITING LTD,,POLIZA SEGURO ARTE DEL AYTO DE TORRELODONES PERIODO 19/10/18 A 13/12/18,376.32,
Administración General,,,1T,2019-03-07,,FERNANDEZ MUÑOZ SANTIAGO,,AUTORIZACION AL MINISTERIO DE FOMENTO PARA REPOSICION DEL VALLADO EN AVDA DE LA DEHESA VIA DE SERVICIO A-6,197.24,
Administración General,,,1T,2019-01-01,,BOLETIN OFICIAL DE LA COMUNIDAD DE MADRID,,INSERCIÓN Nº03/41042/18 2 APROB.DEF.MODIF.ORDENANZAS FISCALES 1,8829.07,
Administración General,,,1T,2019-01-16,,ISERN PATENTES Y MARCAS M S.L.,,MARCA FESTIVAL DE JAZZ MADE IN SPAIN,474.78,
Administración General,,,1T,2019-03-27,,"GINER BRIZ, FERNANDO ANTONIO",,GASTOS A JUSTIFICAR PARA DIETAS DEL PERSONAL  Y MIEMBROS DE MESAS DURANTE LA JORNADA ELECTORAL DEL 28 DE ABRIL 2019.,1300,
